Dimension,K,Mean_Degree,CV_Degree
14,40,18.13,0.0112
14,41,17.87,0.0102
14,42,17.82,0.0122
14,43,17.6,0.0122
14,44,17.44,0.0108
14,45,17.28,0.0092
14,46,17.1,0.0114
14,47,16.98,0.0108
14,48,16.87,0.0077
14,49,16.69,0.0062
15,1,1.79,0.02
15,2,3.56,0.0153
15,3,5.4,0.0
15,4,7.2,0.0017
15,5,8.97,0.0044
15,6,10.7,0.0063
15,7,12.28,0.0068
15,8,13.81,0.0073
15,9,15.06,0.0078
15,10,16.26,0.0083
15,11,17.19,0.0093
15,12,18.01,0.0083
15,13,18.69,0.0119
15,14,19.33,0.0102
15,15,19.82,0.0119
15,16,20.13,0.009
15,17,20.46,0.0104
15,18,20.64,0.0095
15,19,20.79,0.0098
15,20,20.95,0.008
15,21,20.97,0.01
15,22,21.01,0.0118
15,23,21.01,0.0113
15,24,20.99,0.0114
15,25,20.88,0.0104
15,26,20.82,0.0099
15,27,20.72,0.012
15,28,20.52,0.012
15,29,20.52,0.0068
15,30,20.35,0.0097
15,31,20.24,0.0096
15,32,20.08,0.0102
15,33,19.91,0.0095
15,34,19.74,0.009
15,35,19.53,0.0096
15,36,19.42,0.012
15,37,19.17,0.0101
15,38,19.03,0.0119
15,39,18.93,0.0095
15,40,18.76,0.0098
15,41,18.63,0.0115
15,42,18.41,0.0075
15,43,18.27,0.011
15,44,18.12,0.0093
15,45,17.95,0.0099
15,46,17.76,0.0103
15,47,17.54,0.0098
15,48,17.35,0.0082
15,49,17.23,0.0097
16,1,1.76,0.0455
16,2,3.58,0.0133
16,3,5.4,0.0
16,4,7.2,0.0
16,5,8.98,0.003
16,6,10.71,0.0043
16,7,12.35,0.0077
16,8,13.88,0.007
16,9,15.26,0.0066
16,10,16.42,0.0095
16,11,17.46,0.0074
16,12,18.35,0.0085
16,13,19.03,0.0065
16,14,19.64,0.0095
16,15,20.16,0.0073
16,16,20.58,0.011
16,17,20.84,0.0129
16,18,21.14,0.0118
16,19,21.25,0.0097
16,20,21.48,0.0131
16,21,21.57,0.0089
16,22,21.58,0.011
16,23,21.62,0.0107
16,24,21.6,0.0101
16,25,21.5,0.0128
16,26,21.4,0.0101
16,27,21.33,0.0118
16,28,21.32,0.0108
16,29,21.15,0.0107
16,30,20.87,0.0095
16,31,20.82,0.0121
16,32,20.71,0.0114
16,33,20.46,0.0087
16,34,20.36,0.0092
16,35,20.17,0.0102
16,36,20.03,0.01
16,37,19.9,0.0111
16,38,19.68,0.0108
16,39,19.51,0.0083
16,40,19.39,0.0113
16,41,19.19,0.008
16,42,18.97,0.0101
16,43,18.82,0.0106
16,44,18.6,0.0109
16,45,18.5,0.0089
16,46,18.29,0.0084
16,47,18.16,0.0106
16,48,17.98,0.0099
16,49,17.76,0.008
17,1,1.79,0.0279
17,2,3.57,0.0124
17,3,5.4,0.0022
17,4,7.2,0.0
17,5,8.99,0.0027
17,6,10.72,0.0043
17,7,12.39,0.0048
17,8,13.92,0.0079
17,9,15.32,0.0064
17,10,16.55,0.0072
17,11,17.71,0.0089
17,12,18.58,0.01
17,13,19.31,0.0102
17,14,20.02,0.0096
17,15,20.54,0.0087
17,16,20.96,0.0108
17,17,21.38,0.0126
17,18,21.6,0.0106
